payload,source,destination,protocol
88,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
98,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
98,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
98,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
98,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
98,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
98,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
1146,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
642,192.168.153.130,192.168.153.141,TCP
1146,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
1146,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
642,192.168.153.130,192.168.153.141,TCP
642,192.168.153.130,192.168.153.141,TCP
1146,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
98,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
642,192.168.153.130,192.168.153.141,TCP
98,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
98,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
98,192.168.153.141,192.168.153.130,TCP
98,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
66,192.168.153.130,192.168.153.141,TCP
98,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
1146,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
642,192.168.153.130,192.168.153.141,TCP
98,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
1146,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
1146,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
642,192.168.153.130,192.168.153.141,TCP
642,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
114,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
1146,192.168.153.141,192.168.153.130,TCP
98,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
1146,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
66,192.168.153.130,192.168.153.141,TCP
114,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
642,192.168.153.130,192.168.153.141,TCP
642,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
114,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
1146,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
642,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
114,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
1146,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
642,192.168.153.130,192.168.153.141,TCP
98,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
1146,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
642,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
114,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
98,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
1146,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
642,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
1146,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
1146,192.168.153.141,192.168.153.130,TCP
114,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
642,192.168.153.130,192.168.153.141,TCP
642,192.168.153.130,192.168.153.141,TCP
1146,192.168.153.141,192.168.153.130,TCP
66,192.168.153.130,192.168.153.141,TCP
642,192.168.153.130,192.168.153.141,TCP
274,192.168.153.141,192.168.153.130,TCP
82,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
274,192.168.153.141,192.168.153.130,TCP
114,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
114,192.168.153.130,192.168.153.141,TCP
114,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
82,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
114,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
114,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
114,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
114,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
114,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
114,192.168.153.130,192.168.153.141,TCP
114,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
274,192.168.153.141,192.168.153.130,TCP
82,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
274,192.168.153.141,192.168.153.130,TCP
82,192.168.153.130,192.168.153.141,TCP
274,192.168.153.141,192.168.153.130,TCP
82,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
274,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
130,192.168.153.130,192.168.153.141,TCP
130,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
82,192.168.153.130,192.168.153.141,TCP
130,192.168.153.141,192.168.153.130,TCP
130,192.168.153.141,192.168.153.130,TCP
274,192.168.153.141,192.168.153.130,TCP
82,192.168.153.130,192.168.153.141,TCP
146,192.168.153.130,192.168.153.141,TCP
146,192.168.153.141,192.168.153.130,TCP
162,192.168.153.130,192.168.153.141,TCP
146,192.168.153.130,192.168.153.141,TCP
146,192.168.153.141,192.168.153.130,TCP
242,192.168.153.130,192.168.153.141,TCP
274,192.168.153.141,192.168.153.130,TCP
82,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
274,192.168.153.141,192.168.153.130,TCP
82,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
130,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
130,192.168.153.141,192.168.153.130,TCP
274,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
82,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
274,192.168.153.141,192.168.153.130,TCP
274,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
82,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
82,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
274,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
130,192.168.153.130,192.168.153.141,TCP
66,192.168.153.141,192.168.153.130,TCP
82,192.168.153.130,192.168.153.141,TCP
130,192.168.153.141,192.168.153.130,TCP
66,192.168.153.141,192.168.153.130,TCP
146,192.168.153.130,192.168.153.141,TCP
146,192.168.153.141,192.168.153.130,TCP
274,192.168.153.141,192.168.153.130,TCP
